Level	Code	Name	Type	Notes	Folder	f_ColorBack	f_ColorCom	f_LastFin	Start	Fin	AsapStart	AsapFin	FactStart	FactFin	DurPlan	DurPlanD	VolPlan	VolFact	Unit	CostPlan
30002	250011	50028	150011	10050011	50011	20030011	20030011	20040011	140011	140011	40011	40011	40011	40011	10011	10011	110011	110011	50011	210011
Level	Code	Name	Type	Notes	References to documents, sites, folders (URL)	ColorBack	ColorGraph	LastFin	Start	Finish	Start [ASAP]	Finish [ASAP]	Start [Actual]	Finish [Actual]	Duration, Hours [Remaining]	Duration, Days [Remaining]	Volume [Remaining]	Volume [Actual]	Unit of volume	Total cost [Remaining]
1	main	Приобретение программы				13233656	11534336	16.01.2007  16:00	09.01.2007  08:00	22.02.2007  08:19	17.01.2007  08:00	22.02.2007  08:19	09.01.2007  08:00		168	21				22914.0933333333
2	Груша	Требования и рынок	R&M			13434828	53760	16.01.2007  16:00	09.01.2007  08:00	25.01.2007  16:00	17.01.2007  08:00	25.01.2007  16:00	09.01.2007  08:00		56	7				8196.33333333333
	ww	Операция4	MN			16777215	9240460	16.01.2007  16:00	09.01.2007  08:00	17.01.2007  08:00	17.01.2007  08:00	17.01.2007  08:00	09.01.2007  08:00				40	60		656.4
A	me	Менеджер проекта	MN_PM			14745599	16711680	16.01.2007  16:00	09.01.2007  08:00	17.01.2007  08:00	17.01.2007  08:00	17.01.2007  08:00	09.01.2007  08:00				40	60		246
A	77	IT Аналитик	MN_IT			14745599	16711680		17.01.2007  08:00	17.01.2007  08:00	17.01.2007  08:00	17.01.2007  08:00					40			82
	4	Операция 4				16777215	9240460		17.01.2007  08:00	23.01.2007  16:00	17.01.2007  08:00	23.01.2007  16:00			40	5	100			
	hasdjhsjd111111111111111kjhckjsck1111111	Операция5				16777215	9240460	15.01.2007  16:00	09.01.2007  08:00	15.01.2007  16:00			09.01.2007  08:00	15.01.2007  16:00				100		
	sds	ssssssssssssssssss				16777215	9240460	16.01.2007  16:00	09.01.2007  08:13	17.01.2007  08:00	17.01.2007  08:00	17.01.2007  08:00	09.01.2007  08:13				97.6	2.4		98.6
	03	Выбор ПО				16777215	9240460													
3	spamrd	Разработка требований				16769505	33023	16.01.2007  16:00	09.01.2007  08:00	25.01.2007  16:00	23.01.2007  08:00	25.01.2007  16:00	09.01.2007  08:00		24	3				5155
	spamrd01	Управление 1	TR			16777215	9240460	10.01.2007  16:00	09.01.2007  08:00	10.01.2007  16:00			09.01.2007  08:00	10.01.2007  16:00				100		
A	77	IT Аналитик	TR_IT			14745599	16711680	10.01.2007  16:00	09.01.2007  08:00	10.01.2007  16:00			09.01.2007  08:00	10.01.2007  16:00				100		
	spamrd02	Демонстрации	FR			16777215	9240460	11.01.2007  12:00	09.01.2007  12:00	11.01.2007  12:00			09.01.2007  12:00	11.01.2007  12:00				100		
A	bi	Бизнес аналитик	FR_BA			14745599	16711680	11.01.2007  12:00	09.01.2007  12:00	11.01.2007  12:00			09.01.2007  12:00	11.01.2007  12:00				100		
	spamrd03	Функциональные требования	SEL			16777215	255	16.01.2007  16:00	16.01.2007  08:00	23.01.2007  16:00	23.01.2007  08:00	23.01.2007  16:00	16.01.2007  08:00		8	1	50	50		1721
T	1	Команда 1	SEL			15263999	15263999		16.01.2007  08:00	16.01.2007  16:00			16.01.2007  08:00	16.01.2007  16:00						1602
A	me	Менеджер проекта	SEL_PM			14745599	16711680	16.01.2007  16:00	16.01.2007  08:00	16.01.2007  16:00			16.01.2007  08:00	16.01.2007  16:00				50		614
A	77	IT Аналитик	SEL_IT			14745599	16711680	16.01.2007  16:00	16.01.2007  08:00	16.01.2007  16:00			16.01.2007  08:00	16.01.2007  16:00				50		470
A	bi	Бизнес аналитик	SEL_BA			14745599	16711680	16.01.2007  16:00	16.01.2007  08:00	16.01.2007  16:00			16.01.2007  08:00	16.01.2007  16:00				50		518
T	2	Команда 2	SEL			15263999	15263999		23.01.2007  08:00	23.01.2007  16:00	23.01.2007  08:00	23.01.2007  16:00			8	1	50			
A	77	IT Аналитик	SEL_IT			14745599	12500735		23.01.2007  08:00	23.01.2007  16:00	23.01.2007  08:00	23.01.2007  16:00			8	1	50			
A	bi	Бизнес аналитик	SEL_BA			14745599	12500735		23.01.2007  08:00	23.01.2007  16:00	23.01.2007  08:00	23.01.2007  16:00			8	1	50			
A	me	Менеджер проекта	SEL_PM			14745599	12500735		23.01.2007  08:00	23.01.2007  16:00	23.01.2007  08:00	23.01.2007  16:00			8	1	50			
A	A	Ресурс A	SEL			14745599	12500735		23.01.2007  08:00	23.01.2007  16:00	23.01.2007  08:00	23.01.2007  16:00			8	1	50			
	spamrd04	Разработка критериев отбора	RFP			16777215	255		24.01.2007  08:00	25.01.2007  16:00	24.01.2007  08:00	25.01.2007  16:00			16	2	100			3434
A	me	Менеджер проекта	RFP_PM			14745599	12500735		24.01.2007  08:00	25.01.2007  16:00	24.01.2007  08:00	25.01.2007  16:00			16	2	100			1226
A	77	IT Аналитик	RFP_IT			14745599	12500735		24.01.2007  08:00	25.01.2007  16:00	24.01.2007  08:00	25.01.2007  16:00			16	2	100			938
A	bi	Бизнес аналитик	RFP_BA			14745599	12500735		24.01.2007  08:00	25.01.2007  16:00	24.01.2007  08:00	25.01.2007  16:00			16	2	100			1034
3	spammr	Исследование рынка				16769505	16711680	16.01.2007  16:00	11.01.2007  08:00	25.01.2007  16:00	17.01.2007  08:00	25.01.2007  16:00	11.01.2007  08:00		32	4				2286.33333333333
