Level	Code	N	Name	Person	Notes	Start	AsapStart	AsapFin	FactStart	FactFin	f_FontColor	f_LastFin	f_ColorCom	f_ColorBack
30002	250011	120011	50028	50011	50011	140011	20040011	20040011	20040011	20040011	20030011	20040011	20030011	20030011
Уровень	Код	Пользовательское поле N	Название	Менеджер	Комментарии	Начало	Начало [КМР]	Окончание [КМР]	Начало [Факт]	Окончание [Факт]	Цвет текста	LastFin	ColorGraph	ColorBack
1	main	65408	Приобретение программы			09.01.2007  08:00	17.01.2007  08:00	09.04.2007  11:30	09.01.2007  08:00			16.01.2007  16:00	11534336	13233656
2	Груша	65408	Требования и рынок	ivanov, petrov		09.01.2007  08:00	17.01.2007  08:00	13.03.2007  19:00	09.01.2007  08:00		255	16.01.2007  16:00	53760	13434828
	ww	65408	Операция4			09.01.2007  08:00	17.01.2007  08:00	17.01.2007  08:00	09.01.2007  08:00			16.01.2007  16:00	9240460	16777215
	4	16711935	Операция 4			17.01.2007  08:00	17.01.2007  08:00	23.01.2007  16:00					9240460	16777215
	hasdjhsjd111111111111111kjhckjsck1111111	65408	Операция5			09.01.2007  08:00			09.01.2007  08:00	15.01.2007  16:00		15.01.2007  16:00	9240460	16777215
	sds	65408	ssssssssssssssssss			09.01.2007  08:13	17.01.2007  08:00	17.01.2007  08:00	09.01.2007  08:13			16.01.2007  16:00	9240460	16777215
	03	65408	Выбор ПО										9240460	16777215
3	spamrd	65408	Разработка требований			09.01.2007  08:00	17.01.2007  08:00	19.01.2007  16:00	09.01.2007  08:00			16.01.2007  16:00	16711680	16769505
	spamrd01	65408	Управление 1			09.01.2007  08:00			09.01.2007  08:00	10.01.2007  16:00		10.01.2007  16:00	9240460	16777215
	spamrd02	65408	Демонстрации			09.01.2007  12:00			09.01.2007  12:00	11.01.2007  12:00		11.01.2007  12:00	9240460	16777215
	spamrd03	65408	Функциональные требования			16.01.2007  08:00	17.01.2007  08:00	17.01.2007  16:00	16.01.2007  08:00			16.01.2007  16:00	255	16777215
	spamrd04	65408	Разработка критериев отбора			18.01.2007  08:00	18.01.2007  08:00	19.01.2007  16:00					255	16777215
3	spammr	65408	Исследование рынка			11.01.2007  08:00	17.01.2007  08:00	22.01.2007  16:00	11.01.2007  08:00			16.01.2007  16:00	16711680	16769505
	spammr01	65408	Технические требования			11.01.2007  08:00	17.01.2007  08:00	18.01.2007  16:00	11.01.2007  08:00		16711680	16.01.2007  16:00	255	16777215
	spammr02	65408	Анализ рынка ПО			19.01.2007  08:00	19.01.2007  08:00	22.01.2007  16:00			16711680		255	16777215
	spammr03	65408	Бизнес аналитик			22.01.2007  16:00	22.01.2007  16:00	22.01.2007  16:00			16711680		255	16777215
2	Яблоко	65408	Анализ и выбор	petrov, ivanov		29.01.2007  18:00	29.01.2007  18:00	09.04.2007  11:30					53760	13434828
	spsc01	65408	Управление 1			30.01.2007  08:00	30.01.2007  08:00	09.04.2007  11:30					65535	16777215
3	spscsa	65408	Анализ предложений			29.01.2007  18:00	29.01.2007  18:00	07.02.2007  16:00					16711680	16769505
	spscsa01	65408	Анализ спецификаций			29.01.2007  18:00	29.01.2007  18:00	29.01.2007  18:00					9240460	16777215
	spscsa02	65408	Рассылка RFP			30.01.2007  08:00	30.01.2007  08:00	31.01.2007  10:00					9240460	16777215
	spscsa05	65408	Получение предложений			31.01.2007  10:00	31.01.2007  10:00	31.01.2007  12:30					9240460	16777215
	spscsa03	65408	Список поставщиков			30.01.2007  08:00	30.01.2007  08:00	05.02.2007  16:00					255	16777215
	spscsa04	65408	Анализ условий поставки (время, стоимость)			06.02.2007  08:00	06.02.2007  08:00	07.02.2007  16:00					255	16777215
3	spscic	65408	Проверка информации			08.02.2007  08:00	08.02.2007  08:00	12.02.2007  16:00					16711680	16769505
	spscic01	65408	Создание короткого списка			08.02.2007  08:00	08.02.2007  08:00	12.02.2007  16:00					255	16777215
	spscic02	65408	Анализ демо версий			08.02.2007  08:00	08.02.2007  08:00	09.02.2007  12:00					9240460	16777215
3	spscnc	65408	Переговоры и выбор			13.02.2007  08:00	13.02.2007  08:00	09.04.2007  11:30					16711680	16769505
	spscnc01	65408	Проверка поддержки			13.02.2007  08:00	13.02.2007  08:00	02.03.2007  16:00					255	16777215
	spscnc02	65408	Управление 2			05.03.2007  12:08	05.03.2007  12:08	22.03.2007  11:49					255	16777215
	spscnc03	65408	Переговоры			22.03.2007  11:49	22.03.2007  11:49	09.04.2007  11:30					255	16777215
