Level	Code	Name	Start	Fin	Person	VolPlan	VolDone	VolRest	TeamDur	DurRest	DurDone	f_FontColor	f_ColorBack
30002	50011	50028	10140011	10040011	50011	10011	10110011	10110011	10011	10210011	10210011	20030011	20030011
Уровень	Код	Название	Начало периода	Окончание периода	Ответственный	Объём [Было]	Объём [Выполнено]	Объём [Остаток]	Длительность, Часы [Было]	Длительность, Часы [Остаток]	Длительность, Часы [Пройдено]	Цвет текста	ColorBack
1	main	Приобретение программы	17.01.2007	14.02.2007									13233656
2	Груша	Требования и рынок	17.01.2007	25.01.2007	ivanov, petrov							255	13434828
	ww	Операция4	17.01.2007	17.01.2007		40.0	40.0						16777215
A	me	Менеджер проекта	17.01.2007	17.01.2007		40.0							14745599
A	77	IT Аналитик	17.01.2007	17.01.2007		40.0	40.0						14745599
	sds	ssssssssssssssssss	17.01.2007	17.01.2007		97.6	97.6						16777215
3	spammr	Исследование рынка	17.01.2007	25.01.2007									16769505
	spammr01	Технические требования	17.01.2007	18.01.2007		33.3	33.3		16.0		16.0	16711680	16777215
A	77	IT Аналитик	17.01.2007	18.01.2007		33.3	33.3		16.0		16.0		14745599
	spammr02	Анализ рынка ПО	19.01.2007	22.01.2007		100.0	100.0		16.0		16.0	16711680	16777215
A	77	IT Аналитик	19.01.2007	22.01.2007		100.0	100.0		16.0		16.0	33023	14745599
	spammr03	Бизнес аналитик	25.01.2007	25.01.2007		100.0	100.0					16711680	16777215
2	Яблоко	Анализ и выбор	30.01.2007	14.02.2007	petrov, ivanov								13434828
	spsc01	Управление 1	30.01.2007	14.02.2007		100.0	85.5	14.5	112.3	16.3	96.0		16777215
A	me	Менеджер проекта	30.01.2007	14.02.2007		100.0	85.5	14.5	112.3	16.3	96.0		14745599
3	spscsa	Анализ предложений	30.01.2007	07.02.2007									16769505
	spscsa01	Анализ спецификаций	30.01.2007	30.01.2007		5.0	5.0						16777215
	spscsa02	Рассылка RFP	30.01.2007	31.01.2007		5.0	5.0		10.0		10.0		16777215
A	bi	Бизнес аналитик											14745599
A	77	IT Аналитик	30.01.2007	31.01.2007		5.0	5.0		10.0		10.0		14745599
	spscsa05	Получение предложений	31.01.2007	31.01.2007		5.0	5.0		2.5		2.5		16777215
A	bi	Бизнес аналитик	31.01.2007	31.01.2007		5.0	5.0		2.5		2.5		14745599
	spscsa03	Список поставщиков	30.01.2007	05.02.2007		5.0	5.0		40.0		40.0		16777215
A	77	IT Аналитик	30.01.2007	05.02.2007		5.0	5.0		40.0		40.0		14745599
	spscsa04	Анализ условий поставки (время, стоимость)	06.02.2007	07.02.2007		3.0	3.0		16.0		16.0		16777215
A	77	IT Аналитик	06.02.2007	07.02.2007		3.0	3.0		16.0		16.0		14745599
A	bi	Бизнес аналитик	06.02.2007	07.02.2007		3.0	3.0		16.0		16.0		14745599
3	spscnc	Переговоры и выбор	13.02.2007	14.02.2007									16769505
	spscnc01	Проверка поддержки	13.02.2007	13.02.2007		2.0	2.0		112.0		8.0		16777215
A	me	Менеджер проекта	13.02.2007	13.02.2007		2.0	2.0		112.0		8.0		14745599
A	77	IT Аналитик	13.02.2007	13.02.2007		2.0	2.0		112.0		8.0		14745599
A	bi	Бизнес аналитик	13.02.2007	13.02.2007		2.0	2.0		112.0		8.0		14745599
	spscnc02	Управление 2	14.02.2007	14.02.2007		2.0	1.9	0.1	103.7	0.3	7.7		16777215
A	me	Менеджер проекта	14.02.2007	14.02.2007		2.0	1.9	0.1	103.7	0.3	7.7		14745599
A	77	IT Аналитик	14.02.2007	14.02.2007		2.0	1.9	0.1	103.7	0.3	7.7		14745599
A	bi	Бизнес аналитик	14.02.2007	14.02.2007		2.0	1.9	0.1	103.7	0.3	7.7		14745599
