OperCode	CostCode	TeamCode	Plan	Fact	Total
spamrd01	ind	1		672	672
spamrd01	sal	1		560	560
spamrd02	ind	1		768	768
spamrd02	sal	1		640	640
spammr01	ind	1	672	1344	2016
spammr01	sal	1	132.666666666667	1120	1252.66666666667
spammr02	ind	1	672		672
spammr02	sal	1	266		266
spamrd04	ind	1	2400		2400
spamrd04	sal	1	798		798
spscsa02	ind	1	420		420
spscsa02	sal	1	52		52
spscsa03	ind	1	1680		1680
spscsa03	sal	1	172		172
spscsa04	ind	1	1440		1440
spscsa04	sal	1	144		144
spscic01	ind	1	1152		1152
spscic01	sal	1	104		104
spscic02	ind	1	504		504
spscic02	sal	1	56		56
spscnc01	ind	1	1200		1200
spscnc01	sal	1	114		114
spscnc02	ind	1	1200		1200
spscnc02	sal	1	114		114
spscnc03	ind	1	2400		2400
spscnc03	sal	1	798		798
spamrd03	ind	1	1200	96000	97200
spamrd03	sal	1	402	80000	80402
spscsa05	ind	1	120		120
spscsa05	sal	1	22		22
spsc01	ind	1	1684.8		1684.8
spsc01	sal	1	314.32		314.32
