OperCode	CostCode	ResCode	AssIndex	Total	Fix	Start	Fin
spamrd01	oth			2	2	09.01.2007  08:00	10.01.2007  16:00
spamrd01	ind			672		09.01.2007  08:00	10.01.2007  16:00
spamrd01	sal			560		09.01.2007  08:00	10.01.2007  16:00
spamrd01	ind	77		672		09.01.2007  08:00	10.01.2007  16:00
spamrd01	sal	77		560		09.01.2007  08:00	10.01.2007  16:00
spamrd02	oth			2	2	09.01.2007  12:00	11.01.2007  12:00
spamrd02	ind			768		09.01.2007  12:00	11.01.2007  12:00
spamrd02	sal			640		09.01.2007  12:00	11.01.2007  12:00
spamrd02	ind	bi		768		09.01.2007  12:00	11.01.2007  12:00
spamrd02	sal	bi		640		09.01.2007  12:00	11.01.2007  12:00
spammr01	oth			2	2	11.01.2007  08:00	16.01.2007  16:00
spammr01	ind			1344		11.01.2007  08:00	16.01.2007  16:00
spammr01	sal			1120		11.01.2007  08:00	16.01.2007  16:00
spammr01	ind	77		1344		11.01.2007  08:00	16.01.2007  16:00
spammr01	sal	77		1120		11.01.2007  08:00	16.01.2007  16:00
spamrd03	oth			1	1	16.01.2007  08:00	16.01.2007  16:00
spamrd03	ind			96000		16.01.2007  08:00	16.01.2007  16:00
spamrd03	sal			80000		16.01.2007  08:00	16.01.2007  16:00
spamrd03	ind	bi		38400		16.01.2007  08:00	16.01.2007  16:00
spamrd03	sal	bi		32000		16.01.2007  08:00	16.01.2007  16:00
spamrd03	ind	77		33600		16.01.2007  08:00	16.01.2007  16:00
spamrd03	sal	77		28000		16.01.2007  08:00	16.01.2007  16:00
spamrd03	ind	me		24000		16.01.2007  08:00	16.01.2007  16:00
spamrd03	sal	me		20000		16.01.2007  08:00	16.01.2007  16:00
