Code	ObjCode	Value	Total	Fact	Risk	Contr	Prob	ObjType	OperCode	ResCode	AssIndex	PredCode	SuccCode	Start	Fin
1	spamrd01	1	1					O							
2	spamrd01	2	2					O							
002	spamrd01	Технические требования	Технические требования					O							
PF	spamrd01	25	25					O							
B	spamrd01	No	No					O							
A	spamrd01	b	b					O							
H	spamrd01	1	1					O							
L	spamrd01	281474959933695	281474959933695					O							
M	spamrd01	1	1					O							
O	spamrd01	09.01.2007  08:00	09.01.2007  08:00					O							
1	spamrd02	1	1					O							
2	spamrd02	2	2					O							
002	spamrd02	Функциональные требования	Функциональные требования					O							
PF	spamrd02	25	25					O							
D	spamrd02	-3.02	-3.02					O							
E	spamrd02	2	2					O							
B	spamrd02	Yes	Yes					O							
A	spamrd02	b	b					O							
H	spamrd02	1	1					O							
J	spamrd02	e	e					O							
L	spamrd02	281474959933695	281474959933695					O							
O	spamrd02	09.01.2007  12:00	09.01.2007  12:00					O							
1	spammr01	2	2					O							
2	spammr01	3	3					O							
002	spammr01	Анализ рынка ПО	Анализ рынка ПО					O							
PF	spammr01	33.3333333333333	33.3333333333333					O							
NewWBS	spammr01	sp_spam_spammr_spammr01	sp_spam_spammr_spammr01					O							
B	spammr01	No	No					O							
C	spammr01	255	255					O							
A	spammr01	c	c					O							
H	spammr01	1	1					O							
L	spammr01	281474959933695	281474959933695					O							
O	spammr01	11.01.2007  08:00	11.01.2007  08:00					O							
1	spammr02	2	2					O							
2	spammr02	3	3					O							
002	spammr02	Список поставщиков	Список поставщиков					O							
PF	spammr02	33.3333333333333	33.3333333333333					O							
NewWBS	spammr02	sp_spam_spammr_spammr02	sp_spam_spammr_spammr02					O							
B	spammr02	Yes	Yes					O							
A	spammr02	c	c					O							
H	spammr02	1	1					O							
J	spammr02	sd	sd					O							
L	spammr02	281474959933695	281474959933695					O							
O	spammr02	19.01.2007  08:00	19.01.2007  08:00					O							
1	spamrd04	2	2					O							
2	spamrd04	3	3					O							
002	spamrd04	Менеджер проекта	Менеджер проекта					O							
PF	spamrd04	25	25					O							
NewWBS	spamrd04	sp_spam_spamrd_spamrd04	sp_spam_spamrd_spamrd04					O							
B	spamrd04	Yes	Yes					O							
A	spamrd04	b	b					O							
H	spamrd04	1	1					O							
J	spamrd04	d	d					O							
L	spamrd04	281474959933695	281474959933695					O							
O	spamrd04	18.01.2007  08:00	18.01.2007  08:00					O							
1	spammr03	3	3					O							
2	spammr03	3	3					O							
002	spammr03	Рассылка RFP	Рассылка RFP					O							
PF	spammr03	33.3333333333333	33.3333333333333					O							
NewWBS	spammr03	sp_spam_spammr_spammr03	sp_spam_spammr_spammr03					O							
E	spammr03	1	1					O							
B	spammr03	No	No					O							
A	spammr03	c	c					O							
H	spammr03	1	1					O							
L	spammr03	281474959933695	281474959933695					O							
O	spammr03	23.01.2007  08:00	23.01.2007  08:00					O							
1	spscsa02	3	3					O							
2	spscsa02	4	4					O							
002	spscsa02	Анализ спецификаций	Анализ спецификаций					O							
NewWBS	spscsa02	sp_spsc_spscsa_spscsa02	sp_spsc_spscsa_spscsa02					O							
E	spscsa02	-3	-3					O							
B	spscsa02	No	No					O							
A	spscsa02	e	e					O							
H	spscsa02	1	1					O							
L	spscsa02	281474959933695	281474959933695					O							
O	spscsa02	30.01.2007  08:00	30.01.2007  08:00					O							
1	spscsa03	3	3					O							
2	spscsa03	4	4					O							
002	spscsa03	Анализ демо версий	Анализ демо версий					O							
NewWBS	spscsa03	sp_spsc_spscsa_spscsa03	sp_spsc_spscsa_spscsa03					O							
B	spscsa03	No	No					O							
C	spscsa03	2222222222	2222222222					O							
A	spscsa03	e	e					O							
H	spscsa03	1	1					O							
L	spscsa03	281474959933695	281474959933695					O							
O	spscsa03	30.01.2007  08:00	30.01.2007  08:00					O							
1	spscsa04	3	3					O							
2	spscsa04	4	4					O							
002	spscsa04	Создание короткого списка	Создание короткого списка					O							
PF	spscsa04	45.4545454545455	45.4545454545455					O							
NewWBS	spscsa04	sp_spsc_spscsa_spscsa04	sp_spsc_spscsa_spscsa04					O							
B	spscsa04	No	No					O							
A	spscsa04	e	e					O							
H	spscsa04	1	1					O							
L	spscsa04	281474959933695	281474959933695					O							
O	spscsa04	06.02.2007  08:00	06.02.2007  08:00					O							
1	spscic01	4	4					O							
2	spscic01	5	5					O							
002	spscic01	Создание короткого списка	Создание короткого списка					O							
PF	spscic01	33.3333333333333	33.3333333333333					O							
NewWBS	spscic01	sp_spsc_spscic_spscic01	sp_spsc_spscic_spscic01					O							
B	spscic01	No	No					O							
A	spscic01	f	f					O							
H	spscic01	1	1					O							
L	spscic01	281474959933695	281474959933695					O							
O	spscic01	08.02.2007  08:00	08.02.2007  08:00					O							
1	spscic02	4	4					O							
2	spscic02	5	5					O							
002	spscic02	Проверка поддержки	Проверка поддержки					O							
PF	spscic02	66.6666666666667	66.6666666666667					O							
NewWBS	spscic02	sp_spsc_spscic_spscic02	sp_spsc_spscic_spscic02					O							
B	spscic02	No	No					O							
C	spscic02	65280	65280					O							
A	spscic02	f	f					O							
H	spscic02	1	1					O							
L	spscic02	281474959933695	281474959933695					O							
O	spscic02	08.02.2007  08:00	08.02.2007  08:00					O							
1	spscnc01	5	5					O							
2	spscnc01	6	6					O							
002	spscnc01	Демонстрации	Демонстрации					O							
PF	spscnc01	83.3333333333333	83.3333333333333					O							
