f_UniId	CostCode	Plan	Fact	Total
504	oth	51	7	58
504	ind	16744.8	98784	115528.8
504	sal	5477.89333333333	82320	87797.8933333333
505	oth	51	7	58
505	ind	16744.8	98784	115528.8
505	sal	5477.89333333333	82320	87797.8933333333
506	oth	51	7	58
506	ind	16744.8	98784	115528.8
506	sal	5477.89333333333	82320	87797.8933333333
507	oth	51	7	58
507	ind	16744.8	98784	115528.8
507	sal	5477.89333333333	82320	87797.8933333333
508	oth	51	7	58
508	ind	16744.8	98784	115528.8
508	sal	5477.89333333333	82320	87797.8933333333
509	oth	51	7	58
509	ind	16744.8	98784	115528.8
509	sal	5477.89333333333	82320	87797.8933333333
510	oth	51	7	58
510	ind	16744.8	98784	115528.8
510	sal	5477.89333333333	82320	87797.8933333333
511	oth	51	7	58
511	ind	16744.8	98784	115528.8
511	sal	5477.89333333333	82320	87797.8933333333
512	oth	51	7	58
512	ind	16744.8	98784	115528.8
512	sal	5477.89333333333	82320	87797.8933333333
513	oth	51	7	58
513	ind	16744.8	98784	115528.8
513	sal	5477.89333333333	82320	87797.8933333333
514	oth	51	7	58
514	ind	16744.8	98784	115528.8
514	sal	5477.89333333333	82320	87797.8933333333
515	oth	51	7	58
515	ind	16744.8	98784	115528.8
515	sal	5477.89333333333	82320	87797.8933333333
516	oth	51	7	58
516	ind	16744.8	98784	115528.8
516	sal	5477.89333333333	82320	87797.8933333333
517	oth	51	7	58
517	ind	16744.8	98784	115528.8
517	sal	5477.89333333333	82320	87797.8933333333
518	oth	51	7	58
518	ind	16744.8	98784	115528.8
518	sal	5477.89333333333	82320	87797.8933333333
519	oth	51	7	58
519	ind	16744.8	98784	115528.8
519	sal	5477.89333333333	82320	87797.8933333333
520	oth	51	7	58
520	ind	16744.8	98784	115528.8
520	sal	5477.89333333333	82320	87797.8933333333
521	oth	51	7	58
521	ind	16744.8	98784	115528.8
521	sal	5477.89333333333	82320	87797.8933333333
522	oth	51	7	58
522	ind	16744.8	98784	115528.8
522	sal	5477.89333333333	82320	87797.8933333333
523	oth	51	7	58
523	ind	16744.8	98784	115528.8
523	sal	5477.89333333333	82320	87797.8933333333
524	oth	51	7	58
524	ind	16744.8	98784	115528.8
524	sal	5477.89333333333	82320	87797.8933333333
525	oth	51	7	58
525	ind	16744.8	98784	115528.8
525	sal	5477.89333333333	82320	87797.8933333333
526	oth	51	7	58
526	ind	16744.8	98784	115528.8
526	sal	5477.89333333333	82320	87797.8933333333
527	oth	51	7	58
527	ind	16744.8	98784	115528.8
527	sal	5477.89333333333	82320	87797.8933333333
528	oth	51	7	58
528	ind	16744.8	98784	115528.8
528	sal	5477.89333333333	82320	87797.8933333333
529	oth	51	7	58
529	ind	16744.8	98784	115528.8
529	sal	5477.89333333333	82320	87797.8933333333
530	oth	51	7	58
530	ind	16744.8	98784	115528.8
530	sal	5477.89333333333	82320	87797.8933333333
531	oth	51	7	58
531	ind	16744.8	98784	115528.8
531	sal	5477.89333333333	82320	87797.8933333333
532	oth	51	7	58
532	ind	16744.8	98784	115528.8
532	sal	5477.89333333333	82320	87797.8933333333
533	oth	51	7	58
533	ind	16744.8	98784	115528.8
533	sal	5477.89333333333	82320	87797.8933333333
534	oth	51	7	58
534	ind	16744.8	98784	115528.8
534	sal	5477.89333333333	82320	87797.8933333333
535	oth	51	7	58
535	ind	16744.8	98784	115528.8
535	sal	5477.89333333333	82320	87797.8933333333
536	oth	51	7	58
536	ind	16744.8	98784	115528.8
536	sal	5477.89333333333	82320	87797.8933333333
537	oth	51	7	58
537	ind	16744.8	98784	115528.8
537	sal	5477.89333333333	82320	87797.8933333333
538	oth	51	7	58
538	ind	16744.8	98784	115528.8
538	sal	5477.89333333333	82320	87797.8933333333
539	oth	51	7	58
539	ind	16744.8	98784	115528.8
539	sal	5477.89333333333	82320	87797.8933333333
540	oth	51	7	58
540	ind	16744.8	98784	115528.8
540	sal	5477.89333333333	82320	87797.8933333333
541	oth	51	7	58
541	ind	16744.8	98784	115528.8
541	sal	5477.89333333333	82320	87797.8933333333
542	oth	51	7	58
542	ind	16744.8	98784	115528.8
542	sal	5477.89333333333	82320	87797.8933333333
543	oth	51	7	58
543	ind	16744.8	98784	115528.8
543	sal	5477.89333333333	82320	87797.8933333333
544	oth	51	7	58
544	ind	16744.8	98784	115528.8
544	sal	5477.89333333333	82320	87797.8933333333
545	oth	51	7	58
545	ind	16744.8	98784	115528.8
545	sal	5477.89333333333	82320	87797.8933333333
546	oth	51	7	58
546	ind	16744.8	98784	115528.8
546	sal	5477.89333333333	82320	87797.8933333333
547	oth	51	7	58
547	ind	16744.8	98784	115528.8
547	sal	5477.89333333333	82320	87797.8933333333
548	oth	51	7	58
548	ind	16744.8	98784	115528.8
548	sal	5477.89333333333	82320	87797.8933333333
549	oth	51	7	58
549	ind	16744.8	98784	115528.8
549	sal	5477.89333333333	82320	87797.8933333333
550	oth	51	7	58
550	ind	16744.8	98784	115528.8
550	sal	5477.89333333333	82320	87797.8933333333
551	oth	51	7	58
551	ind	16744.8	98784	115528.8
551	sal	5477.89333333333	82320	87797.8933333333
552	oth	51	7	58
552	ind	16744.8	98784	115528.8
552	sal	5477.89333333333	82320	87797.8933333333
553	oth	51	7	58
553	ind	16744.8	98784	115528.8
553	sal	5477.89333333333	82320	87797.8933333333
554	oth	51	7	58
554	ind	16744.8	98784	115528.8
554	sal	5477.89333333333	82320	87797.8933333333
555	oth	51	7	58
555	ind	16744.8	98784	115528.8
555	sal	5477.89333333333	82320	87797.8933333333
556	oth	51	7	58
556	ind	16744.8	98784	115528.8
556	sal	5477.89333333333	82320	87797.8933333333
557	oth	51	7	58
557	ind	16744.8	98784	115528.8
557	sal	5477.89333333333	82320	87797.8933333333
558	oth	51	7	58
558	ind	16744.8	98784	115528.8
558	sal	5477.89333333333	82320	87797.8933333333
559	oth	51	7	58
559	ind	16744.8	98784	115528.8
