Level	Code	Name	Type	Notes	Folder	f_Critical	Start	Fin	AsapStart	AsapFin	FactStart	FactFin	Start_COMP	Fin_COMP	DurPlan	DurPlanD	VolPlan	VolFact	Unit	CostPlan
30000	50000	50000	50000	10050000	50000	50000	40000	40000	40000	40000	40000	40000	40000	40000	10000	10000	10000	10000	50000	10000
Уровень	Код	Название	Тип	Комментарии	Ссылки на документы, сайты, папки (URL)	Критическая	Начало	Окончание	Начало [КМР]	Окончание [КМР]	Начало [Факт]	Окончание [Факт]	БАЗОВОЕ - Начало	БАЗОВОЕ - Окончание	Длительность, Часы [План]	Длительность, Дни [План]	Объём [План]	Объём [Факт]	Единица объёма	Общая стоимость [План]
1	main	Приобретение программы				1	09.01.2007  08:00	22.02.2007  08:19	17.01.2007	22.02.2007	09.01.2007		09.01.2007  08:00	19.02.2007  08:19	168.0	21.0				22 914.1
2	Груша	Требования и рынок	R&M			1	09.01.2007  08:00	25.01.2007  16:00	17.01.2007	25.01.2007	09.01.2007		09.01.2007  08:00	23.01.2007  16:00	56.0	7.0				8 196.3
	ww	Операция4	MN				09.01.2007  08:00	17.01.2007  08:00	17.01.2007	17.01.2007	09.01.2007		09.01.2007  08:00	17.01.2007  08:00			40.0	60.0		656.4
	4	Операция 4					17.01.2007  08:00	23.01.2007  16:00	17.01.2007	23.01.2007			17.01.2007  08:00	23.01.2007  16:00	40.0	5.0	100.0			
	hasdjhsjd111111111111111kjhckjsck1111111	Операция5				1	09.01.2007  08:00	15.01.2007  16:00			09.01.2007	15.01.2007	09.01.2007  08:00	15.01.2007  16:00				100.0		
	sds	ssssssssssssssssss					09.01.2007  08:13	17.01.2007  08:00	17.01.2007	17.01.2007	09.01.2007		09.01.2007  08:13	17.01.2007  08:00			97.6	2.4		98.6
	03	Выбор ПО				1														
3	spamrd	Разработка требований				1	09.01.2007  08:00	25.01.2007  16:00	23.01.2007	25.01.2007	09.01.2007		09.01.2007  08:00	19.01.2007  16:00	24.0	3.0				5 155.0
	spamrd01	Управление 1	TR			1	09.01.2007  08:00	10.01.2007  16:00			09.01.2007	10.01.2007	09.01.2007  08:00	10.01.2007  16:00				100.0		
	spamrd02	Демонстрации	FR			1	09.01.2007  12:00	11.01.2007  12:00			09.01.2007	11.01.2007	09.01.2007  12:00	11.01.2007  12:00				100.0		
	spamrd03	Функциональные требования	SEL			1	16.01.2007  08:00	23.01.2007  16:00	23.01.2007	23.01.2007	16.01.2007		16.01.2007  08:00	17.01.2007  16:00	8.0	1.0	50.0	50.0		1 721.0
	spamrd04	Разработка критериев отбора	RFP			1	24.01.2007  08:00	25.01.2007  16:00	24.01.2007	25.01.2007			18.01.2007  08:00	19.01.2007  16:00	16.0	2.0	100.0			3 434.0
3	spammr	Исследование рынка				1	11.01.2007  08:00	25.01.2007  16:00	17.01.2007	25.01.2007	11.01.2007		11.01.2007  08:00	22.01.2007  16:00	32.0	4.0				2 286.3
	spammr01	Технические требования	SM			1	11.01.2007  08:00	18.01.2007  16:00	17.01.2007	18.01.2007	11.01.2007		11.01.2007  08:00	18.01.2007  16:00	16.0	2.0	33.3	66.7		906.3
	spammr02	Анализ рынка ПО	VL			1	19.01.2007  08:00	22.01.2007  16:00	19.01.2007	22.01.2007			19.01.2007  08:00	22.01.2007  16:00	16.0	2.0	100.0			1 175.0
	spammr03	Бизнес аналитик	SS				25.01.2007  16:00	25.01.2007  16:00	25.01.2007	25.01.2007			22.01.2007  16:00	22.01.2007  16:00			100.0			205.0
2	Яблоко	Анализ и выбор	A&C			1	02.02.2007  08:00	22.02.2007  08:19	02.02.2007	22.02.2007			30.01.2007  08:00	19.02.2007  08:19	112.0	14.0				14 717.8
	spsc01	Управление 1	MN			1	22.02.2007  08:19	22.02.2007  08:19	22.02.2007	22.02.2007			30.01.2007  08:00	19.02.2007  08:19			100.0			2 429.8
3	spscsa	Анализ предложений				1	02.02.2007  08:00	12.02.2007  16:00	02.02.2007	12.02.2007			30.01.2007  08:00	07.02.2007  16:00	56.0	7.0				4 265.0
	spscsa01	Анализ спецификаций				1	02.02.2007  08:00	02.02.2007  08:00	02.02.2007	02.02.2007			30.01.2007  08:00	30.01.2007  08:00			5.0			17.0
	spscsa02	Рассылка RFP	SA				02.02.2007  08:00	05.02.2007  10:00	02.02.2007	05.02.2007			30.01.2007  08:00	31.01.2007  10:00	10.0	1.2	5.0			504.0
	spscsa05	Получение предложений	SC				05.02.2007  10:00	05.02.2007  12:30	05.02.2007	05.02.2007			31.01.2007  10:00	31.01.2007  12:30	2.5	0.3	5.0			166.0
	spscsa03	Список поставщиков	DA			1	02.02.2007  08:00	08.02.2007  16:00	02.02.2007	08.02.2007			30.01.2007  08:00	05.02.2007  16:00	40.0	5.0	5.0			1 944.0
	spscsa04	Анализ условий поставки (время, стоимость)	SL			1	09.02.2007  08:00	12.02.2007  16:00	09.02.2007	12.02.2007			06.02.2007  08:00	07.02.2007  16:00	16.0	2.0	3.0			1 634.0
3	spscic	Проверка информации				1	13.02.2007  08:00	15.02.2007  16:00	13.02.2007	15.02.2007			08.02.2007  08:00	12.02.2007  16:00	24.0	3.0				1 907.0
	spscic01	Создание короткого списка	CR			1	13.02.2007  08:00	15.02.2007  16:00	13.02.2007	15.02.2007			08.02.2007  08:00	12.02.2007  16:00	24.0	3.0	3.0			1 313.0
	spscic02	Анализ демо версий	CS				13.02.2007  08:00	14.02.2007  12:00	13.02.2007	14.02.2007			08.02.2007  08:00	09.02.2007  12:00	12.0	1.5	3.0			594.0
3	spscnc	Переговоры и выбор				1	16.02.2007  08:00	22.02.2007  08:19	16.02.2007	22.02.2007			13.02.2007  08:00	19.02.2007  08:19	32.0	4.0				6 116.0
	spscnc01	Проверка поддержки	DM			1	16.02.2007  08:00	16.02.2007  16:00	16.02.2007	16.02.2007			13.02.2007  08:00	13.02.2007  16:00	8.0	1.0	2.0			1 346.0
	spscnc02	Управление 2	NG			1	19.02.2007  08:19	20.02.2007  08:19	19.02.2007	20.02.2007			14.02.2007  08:19	15.02.2007  08:19	8.0	1.0	2.0			1 337.0
	spscnc03	Переговоры	CH			1	20.02.2007  08:19	22.02.2007  08:19	20.02.2007	22.02.2007			15.02.2007  08:19	19.02.2007  08:19	16.0	2.0	100.0			3 433.0
