Level	Code	Name	Type	Notes	Folder	f_ColorBack	f_ColorCom	f_LastFin	Start	Fin	AsapStart	AsapFin	FactStart	FactFin	DurPlan	DurPlanD	VolPlan	VolFact	Unit	CostPlan
30002	50011	50028	50011	10050011	50011	20030011	20030011	20040011	40011	40011	40011	40011	40011	40011	10011	10011	10011	10011	50011	10011
Уровень	Код	Название	Тип	Комментарии	Ссылки на документы, сайты, папки (URL)	ColorBack	ColorGraph	LastFin	Начало	Окончание	Начало [КМР]	Окончание [КМР]	Начало [Факт]	Окончание [Факт]	Длительность, Часы [План]	Длительность, Дни [План]	Объём [План]	Объём [Факт]	Единица объёма	Общая стоимость [План]
1	main	Приобретение программы				13233656	11534336	16.01.2007  16:00	09.01.2007  08:00	22.02.2007  08:19	17.01.2007  08:00	22.02.2007  08:19	09.01.2007  08:00		168.0	21.0				22 914.1
2	Груша	Требования и рынок	R&M			13434828	53760	16.01.2007  16:00	09.01.2007  08:00	25.01.2007  16:00	17.01.2007  08:00	25.01.2007  16:00	09.01.2007  08:00		56.0	7.0				8 196.3
	ww	Операция4	MN			16777215	9240460	16.01.2007  16:00	09.01.2007  08:00	17.01.2007  08:00	17.01.2007  08:00	17.01.2007  08:00	09.01.2007  08:00				40.0	60.0		656.4
	1	Команда 1	MN			15263999	15263999		17.01.2007  08:00	17.01.2007  08:00	17.01.2007  08:00	17.01.2007  08:00					40.0			328.0
	me	Менеджер проекта	MN_PM			14745599	16711680	16.01.2007  16:00	09.01.2007  08:00	17.01.2007  08:00	17.01.2007  08:00	17.01.2007  08:00	09.01.2007  08:00				40.0	60.0		246.0
	77	IT Аналитик	MN_IT			14745599	16711680		17.01.2007  08:00	17.01.2007  08:00	17.01.2007  08:00	17.01.2007  08:00					40.0			82.0
	4	Операция 4				16777215	9240460		17.01.2007  08:00	23.01.2007  16:00	17.01.2007  08:00	23.01.2007  16:00			40.0	5.0	100.0			
	hasdjhsjd111111111111111kjhckjsck1111111	Операция5				16777215	9240460	15.01.2007  16:00	09.01.2007  08:00	15.01.2007  16:00			09.01.2007  08:00	15.01.2007  16:00				100.0		
	sds	ssssssssssssssssss				16777215	9240460	16.01.2007  16:00	09.01.2007  08:13	17.01.2007  08:00	17.01.2007  08:00	17.01.2007  08:00	09.01.2007  08:13				97.6	2.4		98.6
	03	Выбор ПО				16777215	9240460													
3	spamrd	Разработка требований				16769505	33023	16.01.2007  16:00	09.01.2007  08:00	25.01.2007  16:00	23.01.2007  08:00	25.01.2007  16:00	09.01.2007  08:00		24.0	3.0				5 155.0
	spamrd01	Управление 1	TR			16777215	9240460	10.01.2007  16:00	09.01.2007  08:00	10.01.2007  16:00			09.01.2007  08:00	10.01.2007  16:00				100.0		
	1	Команда 1	TR			15263999	15263999													
	77	IT Аналитик	TR_IT			14745599	16711680	10.01.2007  16:00	09.01.2007  08:00	10.01.2007  16:00			09.01.2007  08:00	10.01.2007  16:00				100.0		
	spamrd02	Демонстрации	FR			16777215	9240460	11.01.2007  12:00	09.01.2007  12:00	11.01.2007  12:00			09.01.2007  12:00	11.01.2007  12:00				100.0		
	1	Команда 1	FR			15263999	15263999													
	bi	Бизнес аналитик	FR_BA			14745599	16711680	11.01.2007  12:00	09.01.2007  12:00	11.01.2007  12:00			09.01.2007  12:00	11.01.2007  12:00				100.0		
	spamrd03	Функциональные требования	SEL			16777215	255	16.01.2007  16:00	16.01.2007  08:00	23.01.2007  16:00	23.01.2007  08:00	23.01.2007  16:00	16.01.2007  08:00		8.0	1.0	50.0	50.0		1 721.0
	1	Команда 1	SEL			15263999	15263999													1 602.0
	me	Менеджер проекта	SEL_PM			14745599	16711680	16.01.2007  16:00	16.01.2007  08:00	16.01.2007  16:00			16.01.2007  08:00	16.01.2007  16:00				50.0		614.0
	77	IT Аналитик	SEL_IT			14745599	16711680	16.01.2007  16:00	16.01.2007  08:00	16.01.2007  16:00			16.01.2007  08:00	16.01.2007  16:00				50.0		470.0
