OperCode	CostCode	Hour	Plan	Fact	Total	Fix	Contr	Risk	Prob	StartProf	FinProf	PerVolume
spamrd01	oth			2	2							
spamrd01	ind			672	672							
spamrd01	sal	2		560	560	2				2	2	2
spamrd02	oth			2	2							
spamrd02	ind			768	768							
spamrd02	sal	2		640	640	2				2	2	2
spammr01	oth		1	2	3	1						
spammr01	ind		672	1344	2016							
spammr01	sal	2	233.333333333333	1120	1353.33333333333	2				2	2	2
spammr02	oth		3		3	3						
spammr02	ind		672		672							
spammr02	sal	2	500		500	2				2	2	2
spamrd04	oth		2		2	2						
spamrd04	ind		2400		2400							
spamrd04	sal	2	1032		1032	2				2	2	2
spammr03	oth		3		3	3						
spammr03	sal	2	202		202	2				2	2	2
spscsa02	ind		420		420							
spscsa02	sal	2	84		84	2				2	2	2
spscsa03	ind		1680		1680							
spscsa03	sal	2	264		264	2				2	2	2
spscsa04	oth		10		10	10						
spscsa04	ind		1440		1440							
spscsa04	sal	2	184		184	2				2	2	2
spscic01	oth		1		1	1						
spscic01	ind		1152		1152							
spscic01	sal	2	160		160	2				2	2	2
spscic02	oth		2		2	2						
spscic02	ind		504		504							
spscic02	sal	2	88		88	2				2	2	2
spscnc01	oth		10		10	10						
spscnc01	ind		1200		1200							
spscnc01	sal	2	136		136	2				2	2	2
spscnc02	oth		1		1	1						
spscnc02	ind		1200		1200							
spscnc02	sal	2	136		136	2				2	2	2
spscnc03	oth		1		1	1						
spscnc03	ind		2400		2400							
spscnc03	sal	2	1032		1032	2				2	2	2
spscsa01	oth		5		5	5						
spscsa01	sal	2	12		12	2				2	2	2
spamrd03	oth		1	1	2	1						
spamrd03	ind		1200	96000	97200							
spamrd03	sal	2	520	80000	80520	2				2	2	2
spscsa05	oth		7		7	7						
spscsa05	ind		120		120							
spscsa05	sal	2	39		39	2				2	2	2
spsc01	oth		4		4	4						
spsc01	ind		1684.8		1684.8							
spsc01	sal	2	740.96		740.96	2				2	2	2
hasdjhsjd111111111111111kjhckjsck1111111	sal	2				2				2	2	2
sds	sal	1	98.6		98.6	1				1	1	1
03	sal	2				2				2	2	2
4	sal	2				2				2	2	2
5	sal	2				2				2	2	2
6	sal	2				2				2	2	2
