Code	Name	ObjType	ObjCode	Right
Admin	Права Администратора		RightWBS	F
Admin	Права Администратора		RightMats	F
Admin	Права Администратора		RightParts	F
Admin	Права Администратора		RightRess	F
Admin	Права Администратора		RightCalens	F
Admin	Права Администратора		RightPhases	F
Admin	Права Администратора		RightUsers	F
Admin	Права Администратора		RightCorprefs	F
Admin	Права Администратора		RightFacts	F
Admin	Права Администратора		RightPBS	F
Admin	Права Администратора		RightMultiProjs	F
Admin	Права Администратора		RightFieldDescrs	F
Admin	Права Администратора		RightOpers	F
A	Права доступа A	P	spamrd	V
A	Права доступа A	P	spammr	V
A	Права доступа A	P	Груша	V
A	Права доступа A	P	spscsa	V
A	Права доступа A	P	spscic	V
A	Права доступа A	P	spscnc	V
A	Права доступа A	P	Яблоко	V
A	Права доступа A	P	main	V
A	Права доступа A		RightWBS	F
A	Права доступа A		RightMats	F
A	Права доступа A		RightParts	F
A	Права доступа A		RightRess	F
A	Права доступа A		RightCalens	F
A	Права доступа A		RightPhases	F
A	Права доступа A		RightUsers	F
A	Права доступа A		RightCorprefs	F
A	Права доступа A		RightFacts	F
A	Права доступа A		RightPBS	F
A	Права доступа A		RightMultiProjs	F
A	Права доступа A		RightFieldDescrs	F
A	Права доступа A		RightOpers	F
