Code	ObjType	sf_AltName	ShortName	sf_Enum	sf_HierIndent	Notes	f_OutputFormNum	f_OutputFormTime	f_OutputFormText
Level	PH	Нет	Уровень	Нет	Нет			По умолчанию	Лево
Code	PH	Нет	Код	Нет	Нет			По умолчанию	Лево
Name	PH	Нет	Название	Нет	Да			По умолчанию	Лево
DPH	PH	Нет	Тип ДПГ	Нет	Нет			По умолчанию	Лево
Type	PH	Нет	Тип	Нет	Нет			По умолчанию	Лево
Split	PH	Нет	Прерываемость	Нет	Нет			По умолчанию	Лево
Alap	PH	Нет	КМР / КМП	Нет	Нет			По умолчанию	Лево
Notes	PH	Нет	Комментарии	Нет	Нет			По умолчанию	Лево
Folder	PH	Нет	Ссылки на документы, сайты, папки (URL)	Нет	Нет			По умолчанию	Лево
ShortName	PH	Нет	Краткое название	Нет	Да			По умолчанию	Лево
AssIndex	PH	Нет	Индекс	Нет	Нет			По умолчанию	Лево
Start	PH	Нет	Начало	Нет	Нет			DMYHM	Лево
Fin	PH	Нет	Окончание	Нет	Нет			DMYHM	Лево
DurPlan	PH	Нет	Длительность, Часы [План]	Нет	Нет			По умолчанию	Лево
DurPlanD	PH	Нет	Длительность, Дни [План]	Нет	Нет			По умолчанию	Лево
NumDays	PH	Нет	Количество дней работы [План]	Нет	Нет			По умолчанию	Лево
VolPlan	PH	Нет	Объём [План]	Нет	Нет			По умолчанию	Лево
Unit	PH	Нет	Единица объёма	Нет	Нет			По умолчанию	Лево
VolFact	PH	Нет	Объём [Факт]	Нет	Нет			По умолчанию	Лево
VolSum	PH	Нет	Объём [Итог]	Нет	Нет			По умолчанию	Лево
CostPlan	PH	Нет	Общая стоимость [План]	Нет	Нет			По умолчанию	Лево
Reserv	PH	Нет	Резерв полный, Часы	Нет	Нет			По умолчанию	Лево
ReservD	PH	Нет	Резерв полный, Дни	Нет	Нет			По умолчанию	Лево
ReservFinH	PH	Нет	Резерв полный, Окончание, Часы	Нет	Нет			По умолчанию	Лево
ReservFinD	PH	Нет	Резерв полный, Окончание, Дни	Нет	Нет			По умолчанию	Лево
ReservSuperH	PH	Нет	Резерв супер, Часы	Нет	Нет			По умолчанию	Лево
ReservSuperD	PH	Нет	Резерв супер, Дни	Нет	Нет			По умолчанию	Лево
f_FreeReservH	PH	Нет	Резерв свободный, Часы	Нет	Нет			По умолчанию	Лево
f_FreeReservD	PH	Нет	Резерв свободный, Дни	Нет	Нет			По умолчанию	Лево
f_ReservNegFinH	PH	Нет	Резерв отрицательный, Окончание, Часы	Нет	Нет			По умолчанию	Лево
f_ReservNegFinD	PH	Нет	Резерв отрицательный, Окончание, Дни	Нет	Нет			По умолчанию	Лево
f_ReservNegStartH	PH	Нет	Резерв отрицательный, Начало, Часы	Нет	Нет			По умолчанию	Лево
f_ReservNegStartD	PH	Нет	Резерв отрицательный, Начало, Дни	Нет	Нет			По умолчанию	Лево
f_FlexStartH	PH	Нет	Начало FLEX, Часы	Нет	Нет			По умолчанию	Лево
f_FlexStartD	PH	Нет	Начало FLEX, Дни	Нет	Нет			По умолчанию	Лево
f_FlexFinH	PH	Нет	Окончание FLEX, Часы	Нет	Нет			По умолчанию	Лево
f_FlexFinD	PH	Нет	Окончание FLEX, Дни	Нет	Нет			По умолчанию	Лево
f_DRAGH	PH	Нет	ДРАГ, Часы	Нет	Нет			По умолчанию	Лево
f_DRAGD	PH	Нет	ДРАГ, Дни	Нет	Нет			По умолчанию	Лево
NumPlan	PH	Нет	Количество [План]	Нет	Нет			По умолчанию	Лево
Number	PH	Нет	Количество	Нет	Нет			По умолчанию	Лево
NumberMin	PH	Нет	Количество [Минимум]	Нет	Нет			По умолчанию	Лево
Variable	PH	Нет	Переменные количество и загрузка	Нет	Нет			По умолчанию	Лево
TeamDur	PH	Нет	Длительность команд общая, Часы [План]	Нет	Нет			По умолчанию	Лево
TeamDurD	PH	Нет	Длительность команд общая, Дни [План]	Нет	Нет			По умолчанию	Лево
FixPercent	PH	Нет	% объёма [для команд]	Нет	Нет			По умолчанию	Лево
LoadPlan	PH	Нет	Загрузка [План]	Нет	Нет			По умолчанию	Лево
LoadMin	PH	Нет	Загрузка [Минимум]	Нет	Нет			По умолчанию	Лево
f_UseCalen	PH	Нет	Использовать календарь	Нет	Нет			По умолчанию	Лево
Load	PH	Нет	Загрузка	Нет	Нет			По умолчанию	Лево
Prod	PH	Нет	Производительность	Нет	Нет			По умолчанию	Лево
Prior	PH	Нет	Приоритет	Нет	Нет			По умолчанию	Лево
WorkLoadPlan	PH	Нет	Трудоёмкость [План]	Нет	Нет			По умолчанию	Лево
Calen	PH	Да	Календарь	Нет	Нет			По умолчанию	Лево
AsapStart	PH	Нет	Начало [КМР]	Нет	Нет			По умолчанию	Лево
AsapFin	PH	Нет	Окончание [КМР]	Нет	Нет			По умолчанию	Лево
