Code	Name	ShortName	Notes	Width	sf_HierIndent	sf_Reference	f_ValueFromGantt	Type	sf_SumOper	sf_SumPhase	f_SumPhase2	sf_SumRes	sf_SumDep	f_SumPhase	sf_Enum	sf_TypeSignal	sf_SignalCode	sf_SignalName	sf_Marker	ByFormula	Formula	AutoFill	f_IsCode	f_IsLink	f_IsColor	f_OutputFormNum	f_OutputFormTime	f_OutputFormText	ContentCodes	ContentNames	f_DoMC	f_UniId
1	Start			60	Нет	Назначение ресурса	Нет	Число	Нет	Нет	Нет	Нет	Нет	Нет	Нет	Нет				Нет		Нет	Нет	Нет	Нет		По умолчанию	Лево			Нет	1
2	Finish			60	Нет	Назначение ресурса	Нет	Число	Нет	Нет	Нет	Нет	Нет	Нет	Нет	Нет				Нет		Нет	Нет	Нет	Нет		По умолчанию	Лево			Нет	2
002	A			60	Нет	Назначение ресурса	Нет	Текст	Нет	Нет	Нет	Нет	Нет	Нет	Нет	Нет				Нет		Нет	Нет	Нет	Нет	0	По умолчанию	Лево			Нет	188
PF	Percentage of Father			60	Нет	Назначение ресурса	Нет	Число	Нет	Нет	Нет	Нет	Нет	Нет	Нет	Нет				Нет		Нет	Нет	Нет	Нет	1	DMYHMS	Лево			Нет	189
NewWBS	NewWBS			60	Нет	Назначение ресурса	Нет	Текст	Нет	Нет	Нет	Нет	Нет	Нет	Нет	Нет				Нет		Нет	Нет	Нет	Нет		По умолчанию	Лево			Нет	215
D	Пользовательское поле  D  dddddddddddddddddddddddddddddddddddddddddddddddddddddddddddddddddddkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkk			60	Нет	Назначение ресурса	Нет	Текст	Нет	Нет	Нет	Нет	Нет	Нет	Нет	Да				Да	BSC	Нет	Нет	Нет	Нет	3	По умолчанию	Лево	C PH	Считается в таблице Гантт работ	Нет	216
E	Пользовательское поле E			60	Нет	Назначение ресурса	Нет	Число	Нет	Нет	Нет	Нет	Нет	Нет	Нет	Нет				Нет		Нет	Нет	Нет	Нет	3	По умолчанию	Лево			Нет	243
B	User Field  B			60	Нет	Назначение ресурса	Нет	Текст	Нет	Нет	Нет	Нет	Нет	Нет	Нет	Нет				Нет		Нет	Нет	Нет	Нет		По умолчанию	Лево			Нет	247
C	Пользовательское поле C			85	Нет	Назначение ресурса	Нет	Текст	Нет	Нет	Нет	Нет	Нет	Нет	Нет	Нет				Нет		Нет	Нет	Нет	Нет		По умолчанию	Лево			Нет	293
A	Пользовательское поле A			85	Нет	Назначение ресурса	Нет	Текст	Нет	Нет	Нет	Нет	Нет	Нет	Нет	Нет				Нет		Нет	Нет	Нет	Нет		DMYHMS	Лево			Нет	307
F	Пользовательское поле F			85	Нет	Назначение ресурса	Нет	Дата-время	Нет	Нет	Нет	Нет	Нет	Нет	Нет	Нет				Нет		Нет	Нет	Нет	Нет		DMYHMS	Лево			Нет	308
G	Пользовательское поле G			85	Нет	Назначение ресурса	Нет	Текст	Нет	Нет	Нет	Нет	Нет	Нет	Нет	Нет				Нет		Нет	Нет	Да	Нет		По умолчанию	Лево			Нет	309
H	Пользовательское поле H			85	Нет	Назначение ресурса	Нет	Число	Нет	Нет	Нет	Нет	Нет	Нет	Нет	Нет				Нет		Нет	Нет	Нет	Нет	0	По умолчанию	Лево			Нет	319
I	Пользовательское поле I			85	Нет	Назначение ресурса	Нет	Текст	Нет	Нет	Нет	Нет	Нет	Нет	Нет	Нет				Нет		Нет	Нет	Нет	Нет		По умолчанию	Лево			Нет	357
J	Пользовательское поле J			85	Нет	Назначение ресурса	Нет	Текст	Нет	Нет	Нет	Нет	Нет	Нет	Нет	Нет				Нет		Нет	Нет	Нет	Нет		По умолчанию	Лево			Нет	403
K	Пользовательское поле K			85	Нет	Назначение ресурса	Нет	Число	Нет	Нет	Нет	Нет	Нет	Нет	Нет	Нет				Нет		Нет	Нет	Нет	Нет		По умолчанию	Лево			Нет	605
FactPercent	FactPercent			85	Нет	Назначение ресурса	Нет	Число	Нет	Нет	Нет	Нет	Нет	Нет	Нет	Нет				Нет		Нет	Нет	Нет	Нет		По умолчанию	Лево			Нет	719
L	Пользовательское поле L	Поле L		85	Нет	Назначение ресурса	Нет	Текст	Нет	Нет	Нет	Нет	Нет	Нет	Нет	Нет				Нет		Нет	Нет	Нет	Да	0	По умолчанию	Лево			Нет	721
M	Пользовательское поле M			85	Нет	Назначение ресурса	Нет	Текст	Нет	Нет	Нет	Нет	Нет	Нет	Нет	Да	A	Сигнал A	8	Нет		Нет	Нет	Нет	Нет		По умолчанию	Лево			Нет	724
N	Пользовательское поле N			85	Нет	Назначение ресурса	Нет	Текст	Нет	Нет	Нет	Нет	Нет	Нет	Нет	Нет				Нет		Нет	Нет	Нет	Нет		По умолчанию	Лево			Нет	725
O	Пользовательское поле O			120	Нет	Назначение ресурса	Нет	Дата-время	Нет	Нет	Нет	Нет	Нет	Нет	Нет	Нет				Нет		Нет	Нет	Нет	Нет		DMYHM	Лево			Нет	736
