StructCode	Code	Name	Level	BSC	Type	Notes	Folder	ShortName	Start	Fin	DurPlan	DurPlanD	NumDays	CostPlan	Reserv	ReservD	ReservFinH	ReservFinD	Calen	Person	Prior	WorkLoadPlan	AsapStart	AsapFin	AlapStart	AlapFin	FactStart	FactFin	DurFact	DurFactD	NumDaysFact	DurSum	DurSumD	NumDaysSum	CostFact	CostTotal	WorkLoadFact	WorkLoadSum	VolPlan	VolFact	VolSum	TargetStart	TargetFin	rReserv	rReservFin	rCostPlan	rCostDiff	ProbTerm	ContFin	CostContr	CostProb	CalcDif	NPV	NPV_Plan	ObjCode	SaveCode	ACWP	BCWP	BCWS	CV	CV%	SV	SV%	CPI	CPI%	SPI	SPI%	f_PF	f_BAC	f_EAC	f_VAC	f_VAC%	f_TCPI	f_PSc	f_PSp	SumVol	ResCentQuan	ResCentHour	EarlyStart	EarlyFin	f_NotedStart	f_NotedFin	f_UniId	f_RowColor	f_FontColor	Color
1	main	Приобретение программы	1	0					09.01.2007  08:00	22.02.2007  08:19	208	26	27	22914.0933333333					1			348.58	17.01.2007  08:00	22.02.2007  08:19	17.01.2007  08:00	22.02.2007  08:19	09.01.2007  08:00		48	6	6	256	32	33.0000083063924	182431.6	205345.693333333	2076	2424.58														Нет	-205345.693333333	-22914.0933333333																						Нет					Нет	Нет	170			
1	Груша	Требования и рынок	2	1	R&M				09.01.2007  08:00	05.02.2007  13:12	109.2	13.65	14	8196.33333333333			99.12	12.39	1	ivanov		104	17.01.2007  08:00	05.02.2007  13:12	17.01.2007  08:00	22.02.2007  08:19	09.01.2007  08:00		48	6	6	157.2	19.65	20.0000041531962	182431.6	190627.933333333	2076	2180														Нет	-190627.933333333	-8196.33333333333																						Нет					Нет	Нет	171		255	
1	spamrd	Разработка требований	3	1.6					09.01.2007  08:00	25.01.2007  16:00	24	3	3	5155					1			72	23.01.2007  08:00	25.01.2007  16:00	23.01.2007  08:00	25.01.2007  16:00	09.01.2007  08:00		28	3.5	4	52	6.5	7.00000103875948	178645	183800	2032	2104														Нет	-183800	-5155																						Нет					Нет	Нет	172			
1	spammr	Исследование рынка	3	1.7					11.01.2007  08:00	25.01.2007  16:00	32	4	5	2286.33333333333					1			32	17.01.2007  08:00	25.01.2007  16:00	17.01.2007  08:00	26.01.2007  08:00	11.01.2007  08:00		32	4	4	64	8	9.00000207659809	2466	4752.33333333333	32	64														Нет	-4752.33333333333	-2286.33333333333																						Нет					Нет	Нет	173			
1	Яблоко	Анализ и выбор	2	2	A&C				17.01.2007  08:00	22.02.2007  08:19	152	19	20	14717.76	96	12			1	petrov		244.58	17.01.2007  08:00	22.02.2007  08:19	02.02.2007  08:00	22.02.2007  08:19						152	19	20		14717.76		244.58														Нет	-14717.76	-14717.76																						Нет					Нет	Нет	174			
1	spscsa	Анализ предложений	3	2.2					02.02.2007  08:00	12.02.2007  16:00	56	7	7	4265					1			84.5	02.02.2007  08:00	12.02.2007  16:00	02.02.2007  08:00	12.02.2007  16:00						56	7	7		4265		84.5														Нет	-4265	-4265																						Нет					Нет	Нет	175			
1	spscic	Проверка информации	3	2.3					13.02.2007  08:00	15.02.2007  16:00	24	3	3	1907					1			36	13.02.2007  08:00	15.02.2007  16:00	13.02.2007  08:00	15.02.2007  16:00						24	3	3		1907		36														Нет	-1907	-1907																						Нет					Нет	Нет	176			
1	spscnc	Переговоры и выбор	3	2.4					17.01.2007  08:00	22.02.2007  08:19	72	9	10	6116	168.32	21.04			1			96	17.01.2007  08:00	22.02.2007  08:19	15.02.2007  08:19	22.02.2007  08:19						72	9	10		6116		96														Нет	-6116	-6116																						Нет					Нет	Нет	177			4227327
2	sp		1	0		   <Notes>     Коммент     к главной фазе   </Notes>   <B>     Значение на главной фазе B   </B>   <A>     Значение на главной фазе A   </A> 			09.01.2007  08:00	22.02.2007  08:19	208	26	27	22914.0933333333					1			348.58	17.01.2007  08:00	22.02.2007  08:19	17.01.2007  08:00	22.02.2007  08:19	09.01.2007  08:00		48	6	6	256	32	33.0000083063924	182431.6	205345.693333333	2076	2424.58														Нет	-205345.693333333	-22914.0933333333																						Нет					Нет	Нет	162			
2	11	Менеджер проекта	2	7	Man				19.02.2007  08:19	22.02.2007  08:19	24	3	4	7856.16					1			100.08	19.02.2007  08:19	22.02.2007  08:19	19.02.2007  08:19	22.02.2007  08:19						24	3	4	1320.6	9176.76	12	112.08														Нет	-9176.76	-7856.16																						Нет					Нет	Нет	163			
