PhaseCode	CostCode	StructCode	Plan	Fact	Total	Contr	Risk	Prob
main	oth	1	51.4	7.6	59			
main	ind	1	16744.8	99504	116248.8			
main	sal	1	6117.89333333333	82920	89037.8933333333			
√руша	oth	1	10.4	7.6	18			
√руша	ind	1	4944	99504	104448			
√руша	sal	1	3241.93333333333	82920	86161.9333333333			
spamrd	oth	1	3	5	8			
spamrd	ind	1	3600	97440	101040			
spamrd	sal	1	1552	81200	82752			
spammr	oth	1	7	2	9			
spammr	ind	1	1344	1344	2688			
spammr	sal	1	935.333333333333	1120	2055.33333333333			
яблоко	oth	1	41		41			
яблоко	ind	1	11800.8		11800.8			
яблоко	sal	1	2875.96		2875.96			
spscsa	oth	1	22		22			
spscsa	ind	1	3660		3660			
spscsa	sal	1	583		583			
spscic	oth	1	3		3			
spscic	ind	1	1656		1656			
spscic	sal	1	248		248			
spscnc	oth	1	12		12			
spscnc	ind	1	4800		4800			
spscnc	sal	1	1304		1304			
sp	oth	2	51.4	7.6	59			
sp	ind	2	16744.8	99504	116248.8			
sp	sal	2	6117.89333333333	82920	89037.8933333333			
11	oth	2	6.4	0.6	7			
11	ind	2	5284.8	720	6004.8			
11	sal	2	2564.96	600	3164.96			
8	oth	2	29	3	32			
8	ind	2	6732	96768	103500			
8	sal	2	2233	80640	82873			
9	oth	2	6	3	9			
9	ind	2	3600	96768	100368			
9	sal	2	1754	80640	82394			
10	oth	2	23		23			
10	ind	2	3132		3132			
10	sal	2	479		479			
1	oth	2	16	4	20			
1	ind	2	4728	2016	6744			
1	sal	2	1221.33333333333	1680	2901.33333333333			
2	oth	2	4	4	8			
2	ind	2	1344	2016	3360			
2	sal	2	733.333333333333	1680	2413.33333333333			
3	oth	2	12		12			
3	ind	2	3384		3384			
3	sal	2	488		488			
